id,kindred_id,bet_offer_name,has_started,home_odd,away_odd,etl_time
334,1008113743,Match Odds,false,1.03,14,2021-09-30 13:01:00 UTC
150,1008025359,Match Odds,false,1.04,14,2021-09-04 19:01:00 UTC
556,1008131763,Match Odds,false,1.02,15,2021-10-05 16:01:00 UTC
173,1008081704,Match Odds,false,1.02,15,2021-09-19 04:01:00 UTC
239,1008018722,Match Odds,false,1.02,16,2021-09-02 16:01:00 UTC
65,1008104908,Match Odds,false,1.01,18,2021-09-29 10:01:00 UTC
308,1008031699,Match Odds,false,1.02,18,2021-09-06 07:01:00 UTC
319,1008018642,Match Odds,false,1.02,20,2021-09-02 13:01:00 UTC
241,1008018981,Match Odds,false,1.01,21,2021-09-02 19:01:00 UTC
403,1008119228,Match Odds,false,3.65,1.25,2021-10-01 07:01:00 UTC
197,1008081419,Match Odds,false,3.8,1.25,2021-09-19 07:01:00 UTC
889,1008136405,Match Odds,false,4.1,1.25,2021-10-07 07:01:00 UTC
733,1008136405,Match Odds,false,4.1,1.25,2021-10-06 16:01:00 UTC
880,1008136405,Match Odds,false,4.1,1.25,2021-10-07 04:01:00 UTC
72,1008103711,Match Odds,false,4.1,1.25,2021-09-28 04:01:00 UTC
994,1008136405,Match Odds,false,4.1,1.25,2021-10-07 13:01:00 UTC
1061,1008136405,Match Odds,false,4.1,1.25,2021-10-07 16:01:00 UTC
952,1008136405,Match Odds,false,4.1,1.25,2021-10-07 10:01:00 UTC
488,1008103711,Match Odds,false,4.1,1.25,2021-09-28 04:01:00 UTC
839,1008136405,Match Odds,false,4.1,1.25,2021-10-06 22:01:00 UTC
490,1008103714,Match Odds,false,4.1,1.25,2021-09-27 22:01:00 UTC
1106,1008136405,Match Odds,false,4.1,1.25,2021-10-07 19:01:00 UTC
107,1008103714,Match Odds,false,4.1,1.25,2021-09-27 22:01:00 UTC
780,1008136405,Match Odds,false,4.1,1.25,2021-10-06 19:01:00 UTC
69,1008015796,Match Odds,false,3.85,1.25,2021-09-01 16:01:00 UTC
299,1008091102,Match Odds,false,2.5,1.5,2021-09-23 10:01:00 UTC
90,1008103293,Match Odds,false,2.5,1.5,2021-09-26 07:01:00 UTC
141,1008091159,Match Odds,false,2.5,1.5,2021-09-22 10:01:00 UTC
975,1008135497,Match Odds,false,2.55,1.5,2021-10-07 13:01:00 UTC
946,1008135497,Match Odds,false,2.55,1.5,2021-10-07 10:01:00 UTC
905,1008135497,Match Odds,false,2.55,1.5,2021-10-07 07:01:00 UTC
659,1008135315,Match Odds,false,2.6,1.5,2021-10-06 10:01:00 UTC
617,1008135315,Match Odds,false,2.6,1.5,2021-10-06 07:01:00 UTC
789,1008136190,Match Odds,false,2.6,1.5,2021-10-06 19:01:00 UTC
710,1008136190,Match Odds,false,2.6,1.5,2021-10-06 16:01:00 UTC
668,1008135315,Match Odds,false,2.6,1.5,2021-10-06 13:01:00 UTC
478,1008103717,Match Odds,false,2.02,1.75,2021-09-28 10:01:00 UTC
284,1008103717,Match Odds,false,2.02,1.75,2021-09-28 10:01:00 UTC
389,1008119228,Match Odds,false,2.05,1.75,2021-10-01 04:01:00 UTC
704,1008136189,Match Odds,false,2.08,1.75,2021-10-06 16:01:00 UTC
774,1008136189,Match Odds,false,2.08,1.75,2021-10-06 19:01:00 UTC
787,1008135308,Match Odds,false,1.58,2.38,2021-10-06 19:01:00 UTC
524,1008125767,Match Odds,false,1.58,2.38,2021-10-03 04:01:00 UTC
160,1008110863,Match Odds,false,1.58,2.38,2021-09-30 10:01:00 UTC
527,1008125767,Match Odds,false,1.58,2.38,2021-10-03 07:01:00 UTC
522,1008125767,Match Odds,false,1.58,2.38,2021-10-02 22:01:00 UTC
530,1008125767,Match Odds,false,1.58,2.38,2021-10-03 10:01:00 UTC
166,1008101785,Match Odds,false,1.52,2.38,2021-09-25 19:01:00 UTC
67,1008084191,Match Odds,false,1.53,2.38,2021-09-19 07:01:00 UTC
632,1008132387,Match Odds,false,1.45,2.63,2021-10-05 19:01:00 UTC
5,1008104906,Match Odds,false,1.48,2.63,2021-09-27 13:01:00 UTC
544,1008135306,Match Odds,false,1.49,2.63,2021-10-06 07:01:00 UTC
152,1008034844,Match Odds,false,1.49,2.63,2021-09-06 07:01:00 UTC
326,1008117191,Match Odds,false,1.49,2.63,2021-09-30 13:01:00 UTC
466,1008122871,Match Odds,false,1.38,2.88,2021-10-02 07:01:00 UTC
144,1008101861,Match Odds,false,1.42,2.88,2021-09-25 13:01:00 UTC
188,1008081707,Match Odds,false,1.37,2.88,2021-09-19 07:01:00 UTC
250,1008083562,Match Odds,false,4.35,1.19,2021-09-19 07:01:00 UTC
696,1008136183,Match Odds,false,4.9,1.19,2021-10-06 16:01:00 UTC
1283,1008136190,Match Odds,false,2.8,1.44,2021-10-08 04:01:00 UTC
1117,1008136190,Match Odds,false,2.8,1.44,2021-10-07 19:01:00 UTC
463,1008122881,Match Odds,false,2.8,1.44,2021-10-02 04:01:00 UTC
439,1008122881,Match Odds,false,2.8,1.44,2021-10-01 16:01:00 UTC
450,1008122881,Match Odds,false,2.8,1.44,2021-10-01 22:01:00 UTC
1018,1008136190,Match Odds,false,2.8,1.44,2021-10-07 16:01:00 UTC
448,1008122881,Match Odds,false,2.8,1.44,2021-10-01 19:01:00 UTC
471,1008122881,Match Odds,false,2.8,1.44,2021-10-02 07:01:00 UTC
1181,1008136190,Match Odds,false,2.8,1.44,2021-10-07 22:01:00 UTC
109,1008084171,Match Odds,false,1.82,1.94,2021-09-21 07:01:00 UTC
1053,1008136567,Match Odds,false,1.82,1.94,2021-10-07 16:01:00 UTC
1103,1008136562,Match Odds,false,1.82,1.94,2021-10-07 19:01:00 UTC
1255,1008136562,Match Odds,false,1.82,1.94,2021-10-08 04:01:00 UTC
105,1008083461,Match Odds,false,1.82,1.94,2021-09-21 16:01:00 UTC
1192,1008136567,Match Odds,false,1.82,1.94,2021-10-07 22:01:00 UTC
1271,1008136567,Match Odds,false,1.82,1.94,2021-10-08 04:01:00 UTC
1151,1008136567,Match Odds,false,1.82,1.94,2021-10-07 19:01:00 UTC
1067,1008136562,Match Odds,false,1.82,1.94,2021-10-07 16:01:00 UTC
1124,1008139613,Match Odds,false,1.82,1.94,2021-10-07 19:01:00 UTC
1187,1008136562,Match Odds,false,1.82,1.94,2021-10-07 22:01:00 UTC
138,1008091098,Match Odds,false,1.8,1.94,2021-09-22 07:01:00 UTC
301,1008104211,Match Odds,false,5.5,1.13,2021-09-26 19:01:00 UTC
433,1008119285,Match Odds,false,6,1.13,2021-10-01 16:01:00 UTC
126,1008103296,Match Odds,false,2.88,1.38,2021-09-26 13:01:00 UTC
589,1008128840,Match Odds,false,2.88,1.38,2021-10-04 19:01:00 UTC
279,1008104901,Match Odds,false,2.9,1.38,2021-09-27 10:01:00 UTC
274,1008112441,Match Odds,false,2.9,1.38,2021-09-30 07:01:00 UTC
183,1008083462,Match Odds,false,3.05,1.38,2021-09-20 10:01:00 UTC
1119,1008139203,Match Odds,false,3.05,1.38,2021-10-07 19:01:00 UTC
1183,1008139203,Match Odds,false,3.05,1.38,2021-10-07 22:01:00 UTC
1156,1008136408,Match Odds,false,3.05,1.38,2021-10-07 19:01:00 UTC
1285,1008139203,Match Odds,false,3.05,1.38,2021-10-08 04:01:00 UTC
885,1008136254,Match Odds,false,2.95,1.38,2021-10-07 07:01:00 UTC
42,1008103290,Match Odds,false,2.85,1.38,2021-09-26 07:01:00 UTC
811,1008136402,Match Odds,false,2.28,1.63,2021-10-06 19:01:00 UTC
734,1008136402,Match Odds,false,2.28,1.63,2021-10-06 16:01:00 UTC
233,1008084525,Match Odds,false,1.88,1.88,2021-09-20 10:01:00 UTC
372,1008119228,Match Odds,false,1.88,1.88,2021-09-30 22:01:00 UTC
915,1008136404,Match Odds,false,1.95,1.88,2021-10-07 07:01:00 UTC
817,1008136404,Match Odds,false,1.95,1.88,2021-10-06 19:01:00 UTC
716,1008136404,Match Odds,false,1.95,1.88,2021-10-06 16:01:00 UTC
825,1008136404,Match Odds,false,1.95,1.88,2021-10-06 22:01:00 UTC
875,1008136404,Match Odds,false,1.95,1.88,2021-10-07 04:01:00 UTC
963,1008136404,Match Odds,false,1.95,1.88,2021-10-07 10:01:00 UTC
554,1008132601,Match Odds,false,1.86,1.88,2021-10-05 16:01:00 UTC
837,1008136182,Match Odds,false,1.71,2.14,2021-10-06 22:01:00 UTC
759,1008136182,Match Odds,false,1.71,2.14,2021-10-06 16:01:00 UTC
777,1008136182,Match Odds,false,1.71,2.14,2021-10-06 19:01:00 UTC
32,1008088087,Match Odds,false,1.71,2.14,2021-09-21 19:01:00 UTC
957,1008136172,Match Odds,false,1.71,2.14,2021-10-07 10:01:00 UTC
897,1008139604,Match Odds,false,1.71,2.14,2021-10-07 07:01:00 UTC
933,1008139604,Match Odds,false,1.71,2.14,2021-10-07 10:01:00 UTC
80,1008103720,Match Odds,false,8,1.07,2021-09-27 04:01:00 UTC
1071,1008135305,Match Odds,false,9,1.07,2021-10-07 16:01:00 UTC
15,1008104192,Match Odds,false,3.15,1.32,2021-09-26 16:01:00 UTC
348,1008118428,Match Odds,false,3.45,1.32,2021-09-30 16:01:00 UTC
329,1008118428,Match Odds,false,3.45,1.32,2021-09-30 13:01:00 UTC
364,1008118234,Match Odds,false,2.4,1.57,2021-09-30 19:01:00 UTC
379,1008118234,Match Odds,false,2.4,1.57,2021-09-30 22:01:00 UTC
